name,id,mass,fall,year,latitude,longitude,class_cat
Hoba,11890,60000,Found,1920,-19.58333,17.91667,Iron Meteorites - Category IV
Cape York,5262,58200,Found,1818,76.13333,-64.93333,Iron Meteorites - Category I
Campo del Cielo,5247,50000,Found,1575,-27.46667,-60.58333,Iron Meteorites - Category I
Canyon Diablo,5257,30000,Found,1891,35.05,-111.03333,Iron Meteorites - Category I
Armanty,2335,28000,Found,1898,47.0,88.0,Iron Meteorites - Category II
Gibeon,10912,26000,Found,1836,-25.5,18.0,Iron Meteorites - Category IV
Chupaderos,5363,24300,Found,1852,27.0,-105.1,Iron Meteorites - Category I
Mundrabilla,16852,24000,Found,1911,-30.78333,127.55,Iron Meteorites - Category I
Sikhote-Alin,23593,23000,Fell,1947,46.16,134.65333,Iron Meteorites - Category I
Bacubirito,4919,22000,Found,1863,26.2,-107.83333,Iron Meteorites - Category U (Uncategorized)
Mbosi,15456,16000,Found,1930,-9.11667,33.06667,Iron Meteorites - Category U (Uncategorized)
Willamette,24269,15500,Found,1902,45.36667,-122.58333,Iron Meteorites - Category I
Morito,16745,10100,Found,1600,27.05,-105.43333,Iron Meteorites - Category I
Nantan,16906,9500,Found,1958,25.1,107.7,Iron Meteorites - Category I
Cranbourne,5463,8600,Found,1854,-38.1,145.3,Iron Meteorites - Category I
Santa Catharina,23162,7000,Found,1875,-26.21667,-48.6,Iron Meteorites - Category I
Bendegó,5015,5360,Found,1784,-10.11667,-39.2,Other Categories
Brenham,5136,4300,Found,1882,37.5825,-99.16361,Stony-Iron Meteorites - Pallasites
Jilin,12171,4000,Fell,1976,44.05,126.16667,Stony Meteorites - Chondrites
Vaca Muerta,24142,3828,Found,1861,-25.75,-70.5,Stony-Iron Meteorites - Mesosiderites
Youndegin,30374,3800,Found,1884,-32.1,117.71667,Iron Meteorites - Category I
Al Haggounia 001,44857,3000,Found,2006,27.5,-12.5,Stony Meteorites - Achondrites
Yingde,30363,3000,Found,1964,24.2,113.4,Iron Meteorites - Category IV
Xifu,54608,3000,Found,2004,36.3,120.48333,Iron Meteorites - Category I
Toluca,24018,3000,Found,1776,19.56667,-99.56667,Iron Meteorites - Category I
Old Woman,18007,2753,Found,1976,34.46667,-115.23333,Iron Meteorites - Category I
Wabar,24194,2550,Found,1863,21.49972,50.47222,Iron Meteorites - Category I
Huckitta,11922,2300,Found,1924,-22.36667,135.76667,Stony-Iron Meteorites - Pallasites
Navajo,16926,2184,Found,1921,35.33333,-109.5,Iron Meteorites - Category I
Coahuila,5387,2100,Found,1837,28.7,-102.73333,Iron Meteorites - Category I
Campinorte,52093,2000,Found,1992,-14.258,-49.15917,Iron Meteorites - Category U (Uncategorized)
Allende,2278,2000,Fell,1969,26.96667,-105.31667,Stony Meteorites - Achondrites
Zhaoping,54609,2000,Found,1983,24.23333,111.18333,Iron Meteorites - Category I
Henbury,11872,2000,Found,1931,-24.56667,133.16667,Iron Meteorites - Category I
Santa Luzia,23166,1918,Found,1921,-16.26667,-47.95,Iron Meteorites - Category I
Ghubara,10911,1750,Found,1954,19.22778,56.14278,Stony Meteorites - Chondrites
Gebel Kamil,52031,1600,Found,2009,22.01833,26.08778,Iron Meteorites - Category U (Uncategorized)
Odessa (iron),17985,1600,Found,1922,31.71667,-102.4,Iron Meteorites - Category I
Casas Grandes,5285,1545,Found,1867,30.4,-107.8,Iron Meteorites - Category I
Bitburg,5062,1500,Found,1805,49.96667,6.53333,Iron Meteorites - Category I
Quinn Canyon,22364,1450,Found,1908,38.08333,-115.53333,Iron Meteorites - Category I
Charcas,5326,1400,Found,1804,23.08333,-101.01667,Iron Meteorites - Category I
Santa Apolonia,23160,1316,Found,1872,19.21667,-98.3,Iron Meteorites - Category I
Tsarev,24058,1225,Found,1968,48.7,45.7,Stony Meteorites - Chondrites
Alkhamasin,475,1200,Found,1973,20.6,44.88333,Iron Meteorites - Category I
Kouga Mountains,12352,1173,Found,1903,-33.61667,24.0,Iron Meteorites - Category I
Goose Lake,10947,1169,Found,1938,41.98,-120.54167,Iron Meteorites - Category I
Murnpeowie,16878,1143,Found,1909,-29.58333,139.9,Other Categories
Norton County,17922,1100,Fell,1948,39.68333,-99.86667,Stony Meteorites - Achondrites
Kunya-Urgench,12379,1100,Fell,1998,42.25,59.2,Stony Meteorites - Chondrites
Fukang,34491,1003,Found,2000,44.43333,87.63333,Stony-Iron Meteorites - Pallasites
Bilibino,5046,1000,Found,1981,67.3,160.8,Iron Meteorites - Category I
Zacatecas (1792),30381,1000,Found,1792,22.81667,-102.56667,Iron Meteorites - Category U (Uncategorized)
Los Sauces,14710,997,Found,1937,-29.41667,-66.85,Other Categories
Tucson,24061,975,Found,1850,31.85,-110.96667,Iron Meteorites - Category U (Uncategorized)
Cosby's Creek,5450,960,Found,1837,35.78333,-83.25,Iron Meteorites - Category I
Imilac,12025,920,Found,1822,-24.20333,-68.80667,Stony-Iron Meteorites - Pallasites
Zhigansk,30405,900,Found,1966,68.0,128.3,Iron Meteorites - Category I
Bondoc,5103,888,Found,1956,13.51667,122.45,Stony-Iron Meteorites - Mesosiderites
Santa Rosa,23167,825,Found,1810,5.91667,-73.0,Other Categories
Brahin,5130,823,Found,1810,52.5,30.33333,Stony-Iron Meteorites - Pallasites
Red River,22548,800,Found,1808,32.0,-95.0,Iron Meteorites - Category I
Sardis,23177,800,Found,1940,32.94889,-81.865,Iron Meteorites - Category I
Wolf Creek,24326,760,Found,1947,-19.3,127.76667,Iron Meteorites - Category I
Esquel,10054,755,Found,1951,-42.9,-71.33333,Stony-Iron Meteorites - Pallasites
Gladstone (iron),10920,736,Found,1915,-23.9,151.3,Iron Meteorites - Category I
Mount Dooling,16771,734,Found,1909,-29.45,119.71667,Other Categories
Plainview (1917),18841,700,Found,1917,34.11667,-101.78333,Stony Meteorites - Chondrites
Krasnojarsk,12356,700,Found,1749,54.9,91.8,Stony-Iron Meteorites - Pallasites
Davis Mountains,6615,689,Found,1903,30.75,-104.25,Iron Meteorites - Category I
Arispe,2332,683,Found,1896,30.33333,-109.98333,Other Categories
Zerhamra,30403,630,Found,1967,29.85861,-2.645,Iron Meteorites - Category I
La Caille,12393,626,Found,1828,43.73333,6.78333,Iron Meteorites - Category U (Uncategorized)
Jianshi,12087,600,Fell,1890,30.80833,109.5,Iron Meteorites - Category I
Adzhi-Bogdo (iron),389,582,Found,1952,44.86667,95.41667,Iron Meteorites - Category I
Long Island,14694,564,Found,1891,39.93333,-99.6,Stony Meteorites - Chondrites
Jiddat al Harasis 073,12135,550,Found,2002,19.7,55.73333,Stony Meteorites - Chondrites
Rateldraai,22397,549,Found,1909,-28.83333,21.13333,Iron Meteorites - Category I
Drum Mountains,7733,529,Found,1944,39.5,-112.9,Iron Meteorites - Category I
Grant,10957,525,Found,1929,35.16667,-107.88333,Iron Meteorites - Category I
Tamentit,23798,510,Found,1864,27.71667,-0.25,Iron Meteorites - Category I
Trenton,24045,505,Found,1858,43.36667,-88.13333,Iron Meteorites - Category I
Haig,11471,503,Found,1951,-31.38333,125.63333,Iron Meteorites - Category I
Knyahinya,12335,500,Fell,1866,48.9,22.4,Stony Meteorites - Chondrites
Boxhole,5126,500,Found,1937,-22.61667,135.2,Iron Meteorites - Category I
Ochansk,17979,500,Fell,1887,57.78333,55.26667,Stony Meteorites - Chondrites
Wildara,24265,500,Found,1968,-28.23333,120.85,Stony Meteorites - Chondrites
Prambanan,18884,500,Found,1797,-7.56667,110.83333,Iron Meteorites - Category U (Uncategorized)
El Timbu,7820,500,Found,1942,-33.11667,-60.96667,Other Categories
Jepara,53840,499,Found,2008,-6.6,110.73333,Stony-Iron Meteorites - Pallasites
Saint-Aubin,23096,472,Found,1968,48.48333,3.58333,Iron Meteorites - Category I
Carbo,5266,454,Found,1923,29.66667,-111.5,Iron Meteorites - Category II
Etter,10062,450,Found,1965,35.98333,-101.9,Stony Meteorites - Chondrites
Sayh al Uhaymir 001,23193,450,Found,2000,20.51667,56.66667,Stony Meteorites - Chondrites
Wallapai,24206,430,Found,1927,35.8,-113.7,Iron Meteorites - Category II
Yanhuitlan,30349,421,Found,1825,17.53333,-97.35,Iron Meteorites - Category IV
Paragould,18101,408,Fell,1930,36.06667,-90.5,Stony Meteorites - Chondrites
Allan Hills A76009,1316,407,Found,1976,-76.71667,159.66667,Stony Meteorites - Chondrites
Pei Xian,18784,400,Found,1917,34.7,117.0,Other Categories
Augustinovka,4898,400,Found,1890,48.06667,35.08333,Iron Meteorites - Category I
